loss,accuracy,val_loss,val_accuracy,lr
2.6387531757354736,0.18902499973773956,2.3633315563201904,0.26989999413490295,0.001
2.315373182296753,0.28712499141693115,2.231929063796997,0.3158000111579895,0.001
2.2045557498931885,0.3230000138282776,2.2407279014587402,0.3127000033855438,0.001
2.1212069988250732,0.34595000743865967,2.05841064453125,0.36340001225471497,0.001
2.056648015975952,0.36717501282691956,2.0145442485809326,0.3797000050544739,0.001
2.009232997894287,0.37904998660087585,1.9976329803466797,0.3856000006198883,0.001
1.9742859601974487,0.3894500136375427,2.0064573287963867,0.3837999999523163,0.001
1.9263787269592285,0.4048750102519989,1.9303271770477295,0.4016000032424927,0.001
1.8956366777420044,0.41472500562667847,1.9114525318145752,0.4075999855995178,0.001
1.8803040981292725,0.4151749908924103,1.8568785190582275,0.43299999833106995,0.001
