loss,accuracy,val_loss,val_accuracy,lr
7.287702560424805,0.055025000125169754,4.885298252105713,0.05050000175833702,0.001
4.011590003967285,0.0531499981880188,3.4782164096832275,0.05000000074505806,0.001
3.2244763374328613,0.04792499914765358,3.0859861373901367,0.04600000008940697,0.001
3.044447660446167,0.05689999833703041,2.9550375938415527,0.13519999384880066,0.001
2.868678092956543,0.18774999678134918,2.7685799598693848,0.23890000581741333,0.001
2.7098047733306885,0.2599250078201294,2.623141288757324,0.29010000824928284,0.001
2.6275250911712646,0.2954249978065491,2.5957090854644775,0.29580000042915344,0.001
2.56584095954895,0.31757500767707825,2.5030574798583984,0.3249000012874603,0.001
2.5283238887786865,0.3317500054836273,2.502774715423584,0.34139999747276306,0.001
2.484285831451416,0.3509249985218048,2.4984548091888428,0.3407999873161316,0.001
2.3899173736572266,0.3778499960899353,2.5278377532958984,0.3368000090122223,0.00090483745
2.2957451343536377,0.4005250036716461,2.3777120113372803,0.3824000060558319,0.0008187308
2.1923015117645264,0.431674987077713,2.3693559169769287,0.3937999904155731,0.0007408183
2.082030773162842,0.4628250002861023,2.3632657527923584,0.3978999853134155,0.0006703201
1.9550925493240356,0.49937498569488525,2.4341981410980225,0.39419999718666077,0.00060653075
1.836181879043579,0.5338249802589417,2.433476209640503,0.39629998803138733,0.00054881175
1.7080552577972412,0.5675749778747559,2.444946050643921,0.4018999934196472,0.0004965854
