loss,accuracy,val_loss,val_accuracy,lr
4.1495771408081055,0.17992499470710754,2.879646062850952,0.2694000005722046,0.001
2.6739814281463623,0.2758750021457672,2.5117063522338867,0.30720001459121704,0.001
2.4191017150878906,0.3299750089645386,2.3668811321258545,0.33309999108314514,0.001
2.3038156032562256,0.36057499051094055,2.303034782409668,0.3617999851703644,0.001
2.2169501781463623,0.38997501134872437,2.2556204795837402,0.3783999979496002,0.001
2.140406847000122,0.41382500529289246,2.2665576934814453,0.3750999867916107,0.001
2.095806360244751,0.43182501196861267,2.181983709335327,0.4034000039100647,0.001
2.036116123199463,0.4509750008583069,2.1815004348754883,0.4138999879360199,0.001
1.9847806692123413,0.4700999855995178,2.1488730907440186,0.42660000920295715,0.001
1.9397904872894287,0.48147499561309814,2.2362701892852783,0.40939998626708984,0.001
1.8550471067428589,0.5081250071525574,2.1342897415161133,0.43380001187324524,0.00090483745
1.7578847408294678,0.5320249795913696,2.153502941131592,0.44040000438690186,0.0008187308
1.6608335971832275,0.5601249933242798,2.142038583755493,0.44020000100135803,0.0007408183
1.5755720138549805,0.5824999809265137,2.1712806224823,0.43880000710487366,0.0006703201
