loss,accuracy,lr
3.3818061351776123,0.27497598528862,0.001
2.564610242843628,0.363272488117218,0.001
2.4333598613739014,0.40361830592155457,0.001
2.348543405532837,0.4361991584300995,0.001
2.2731359004974365,0.46045470237731934,0.001
2.205348491668701,0.483689546585083,0.001
2.1424193382263184,0.5032220482826233,0.001
2.0806400775909424,0.5190922021865845,0.001
2.0041308403015137,0.5366034507751465,0.001
1.9456902742385864,0.5548951625823975,0.001
1.831879734992981,0.5783901810646057,0.00090483745
1.7160422801971436,0.605307400226593,0.0008187308
1.5943046808242798,0.6297029852867126,0.0007408183
1.4900953769683838,0.6550392508506775,0.0006703201
