loss,accuracy,lr
3.7447197437286377,0.19542507827281952,0.001
2.5092763900756836,0.30381444096565247,0.001
2.3202731609344482,0.35532739758491516,0.001
2.2155299186706543,0.3884085714817047,0.001
2.1312415599823,0.4129042625427246,0.001
2.0645859241485596,0.4390009641647339,0.001
2.0072543621063232,0.4544508457183838,0.001
1.9618654251098633,0.46924030780792236,0.001
1.9177744388580322,0.4852105379104614,0.001
1.8715919256210327,0.49915945529937744,0.001
1.7945494651794434,0.5242354869842529,0.00090483745
1.7025794982910156,0.545369029045105,0.0008187308
1.6207084655761719,0.5679435133934021,0.0007408183
1.5330735445022583,0.5920588970184326,0.0006703201
