loss,accuracy,lr
3.5367238521575928,0.20174911618232727,0.001
2.7697980403900146,0.2635686695575714,0.001
2.686929941177368,0.28954529762268066,0.001
2.627673387527466,0.3103586435317993,0.001
2.5677406787872314,0.3274495601654053,0.001
2.511155605316162,0.3420989513397217,0.001
2.4638173580169678,0.35834935307502747,0.001
2.4234440326690674,0.3621317744255066,0.001
2.389232635498047,0.3751200735569,0.001
2.3431456089019775,0.38386568427085876,0.001
2.273381233215332,0.39705410599708557,0.00090483745
2.2192471027374268,0.4048190712928772,0.0008187308
2.1751277446746826,0.41298431158065796,0.0007408183
2.118009328842163,0.4261327385902405,0.0006703201
