loss,accuracy,lr
2.3093490600585938,0.34644171595573425,0.001
2.2619011402130127,0.36243194341659546,0.001
2.2434768676757812,0.3646133542060852,0.001
2.221510410308838,0.3722982704639435,0.001
2.205007314682007,0.3754802942276001,0.001
2.2055420875549316,0.3760806918144226,0.001
2.1972110271453857,0.37804195284843445,0.001
2.188591957092285,0.3828650414943695,0.001
2.1750967502593994,0.3861871659755707,0.001
2.1706531047821045,0.38510647416114807,0.001
2.135584592819214,0.39333173632621765,0.00090483745
2.1043930053710938,0.39985591173171997,0.0008187308
2.0683963298797607,0.4083213210105896,0.0007408183
2.035266637802124,0.4145253002643585,0.0006703201
