loss,accuracy,lr
2.0573554039001465,0.4658181369304657,0.001
1.9899256229400635,0.4931756258010864,0.001
1.935097575187683,0.5121077299118042,0.001
1.8906062841415405,0.530019223690033,0.001
1.840720772743225,0.5455291271209717,0.001
1.792897343635559,0.5593780279159546,0.001
1.7537959814071655,0.5706852674484253,0.001
1.7192363739013672,0.5848143100738525,0.001
1.6760623455047607,0.5943803787231445,0.001
1.6316051483154297,0.6079891324043274,0.001
1.5556927919387817,0.629342794418335,0.00090483745
1.4827977418899536,0.6475944519042969,0.0008187308
1.395837426185608,0.6631243824958801,0.0007408183
1.310308575630188,0.6860790848731995,0.0006703201
